measure_name,factor,integration_id,execution_id,workflow_execution_id,create_timestamp,last_updated_timestamp,record_key_hash
CS,24,null,df604e0e-c5a1-49b3-9056-bdee36ffb928,5e9c3eba-54ad-4226-b0b1-24757885763f,2026-02-25T12:19:26.250Z,2026-02-25T12:19:26.250Z,590f1f4f48b804696b1acf500e87d641cc699bdd8a5efd65abd5a200e06750fa
PAK,24,null,df604e0e-c5a1-49b3-9056-bdee36ffb928,5e9c3eba-54ad-4226-b0b1-24757885763f,2026-02-25T12:19:26.250Z,2026-02-25T12:19:26.250Z,c138ed4c7a8ff77a5df70a1fd011fc369664a67d088fe1dc7702ca66ab1b43c6
UN,75,null,df604e0e-c5a1-49b3-9056-bdee36ffb928,5e9c3eba-54ad-4226-b0b1-24757885763f,2026-02-25T12:19:26.250Z,2026-02-25T12:19:26.250Z,41cb36cee2ad0820d74fe285e9bd6629d067911368a3ef0f5bd71b8fc4deaaf9
TH,1,null,df604e0e-c5a1-49b3-9056-bdee36ffb928,5e9c3eba-54ad-4226-b0b1-24757885763f,2026-02-25T12:19:26.250Z,2026-02-25T12:19:26.250Z,1937e1cf5892e81327e7a68d469109b9c2a9d4abafc29a2b97c15e6c818d0b3d
GLL,1,null,df604e0e-c5a1-49b3-9056-bdee36ffb928,5e9c3eba-54ad-4226-b0b1-24757885763f,2026-02-25T12:19:26.250Z,2026-02-25T12:19:26.250Z,d28f9c9e61e6542aac64c2d622a9786bdbf01b59ce906fdcc419ffe8bc4a79fe
PAQ,24,null,df604e0e-c5a1-49b3-9056-bdee36ffb928,5e9c3eba-54ad-4226-b0b1-24757885763f,2026-02-25T12:19:26.250Z,2026-02-25T12:19:26.250Z,ed26a96df18dac8ee37b906f3bdcbc938ee349797bbedfb1e1b5936fb130d2eb
PAL,24,null,df604e0e-c5a1-49b3-9056-bdee36ffb928,5e9c3eba-54ad-4226-b0b1-24757885763f,2026-02-25T12:19:26.250Z,2026-02-25T12:19:26.250Z,6cf1f783bfa1bdde1a20f61a19797573454ab66ce5dc67a71fb724ee44775127
CJE,24,null,df604e0e-c5a1-49b3-9056-bdee36ffb928,5e9c3eba-54ad-4226-b0b1-24757885763f,2026-02-25T12:19:26.250Z,2026-02-25T12:19:26.250Z,1513c0631544469d8de4027a6d3d4bf3de9b857b69b7911e806200507dea9654
LB,1,null,df604e0e-c5a1-49b3-9056-bdee36ffb928,5e9c3eba-54ad-4226-b0b1-24757885763f,2026-02-25T12:19:26.250Z,2026-02-25T12:19:26.250Z,631f032663566e87bcc6d9406c9feb361ed6defca748256f953b0d1599cd83e2
KG,1,null,df604e0e-c5a1-49b3-9056-bdee36ffb928,5e9c3eba-54ad-4226-b0b1-24757885763f,2026-02-25T12:19:26.250Z,2026-02-25T12:19:26.250Z,e419f382214566a59044ba0a40bb739e35cff3bad4debfba3d1bcb845d5f126b
