partname,partsite,unitofmeasure,factor,integration_id,execution_id,workflow_execution_id,create_timestamp,last_updated_timestamp,record_key_hash
BA021302,INDUSTRIAS_SULA_66825,PAL,0.00909090909090909,null,305a376f-8e4b-49c9-9724-332bea55780f,c441ccb5-37ea-441f-82d6-b9f02a932d49,null,null,ce929e8eef9271b742ab94ebebb307b04aee40372fdfacb149c5f1c7c44b154c
BA012738,EMBOTELLADORA_LA_NACIONAL_2060890,CJE,0.5416666666666666,null,305a376f-8e4b-49c9-9724-332bea55780f,c441ccb5-37ea-441f-82d6-b9f02a932d49,null,null,3757c77ef27eb83c1d46faaa8a58f22a6fb0f5474db65e4779adf57198712cba
BA024481,KASIM_66377,PAL,0.005291005291005291,null,305a376f-8e4b-49c9-9724-332bea55780f,c441ccb5-37ea-441f-82d6-b9f02a932d49,null,null,1b07679223d29f285e95df661ac1e3e89123e8a84f5c2c551eb1665db0fdbf73
BA016053,THE_TESALIA_30001,CS,1,null,305a376f-8e4b-49c9-9724-332bea55780f,c441ccb5-37ea-441f-82d6-b9f02a932d49,null,null,a8bd8df7456cb74c415e04ea0c86810a79ac7a32c02857207b68fa92d8b78c76
BA006938,CBC_PERUANA_66339,CS,1,null,305a376f-8e4b-49c9-9724-332bea55780f,c441ccb5-37ea-441f-82d6-b9f02a932d49,null,null,23ce8fe390662952879126fe393b6e520b2b76f9ba7393a015307f2fe1c111cd
BA011033,EMBOTELLADORA_LA_NACIONAL_2060890,CS,1,null,305a376f-8e4b-49c9-9724-332bea55780f,c441ccb5-37ea-441f-82d6-b9f02a932d49,null,null,1ba89f7b161fdee2262bf885123f3a13257e0b592ce95377af98f2fee5338d8f
BA019969,IMPADOEL_2108340,PAL,24,null,305a376f-8e4b-49c9-9724-332bea55780f,c441ccb5-37ea-441f-82d6-b9f02a932d49,null,null,a782946de93c784a958d7e6a29b9ea47a1d7d686038ec6023e2ec081bd77e0b2
BA007153,THE_TESALIA_30001,CS,1,null,305a376f-8e4b-49c9-9724-332bea55780f,c441ccb5-37ea-441f-82d6-b9f02a932d49,null,null,330a9e89b2a26df775fb17311fa97ec59142c63687516c31d83f856f9d72ce7c
BA018780,EMBOTELLADORA_LA_MARIPOSA_66328,CS,1,null,305a376f-8e4b-49c9-9724-332bea55780f,c441ccb5-37ea-441f-82d6-b9f02a932d49,null,null,e2eb0872613f692454ce11dd58d5738f7a16d402af7d3e3b219233a5886ecaff
BA001719,MARES_2060885,CJE,1.125,null,305a376f-8e4b-49c9-9724-332bea55780f,c441ccb5-37ea-441f-82d6-b9f02a932d49,null,null,ec3874222102b601f60f2d4c50b5a5a581d6207d6d771eabb20d8755d4799500
BA004063,MARES_2060885,PAL,0.006944444444444444,null,305a376f-8e4b-49c9-9724-332bea55780f,c441ccb5-37ea-441f-82d6-b9f02a932d49,null,null,aa6446f28cd8b74dd2eaaf5d422888678cad18d97c8ac87812fbd555b87db18f
BA007227,THE_TESALIA_30001,PAL,0.005847953216374269,null,305a376f-8e4b-49c9-9724-332bea55780f,c441ccb5-37ea-441f-82d6-b9f02a932d49,null,null,20cb3335dc9c17d1adda48625f7d46c30fd11592643f48b1c15c67faa3dd3ea9
BA019452,THE_TESALIA_30001,CS,1,null,305a376f-8e4b-49c9-9724-332bea55780f,c441ccb5-37ea-441f-82d6-b9f02a932d49,null,null,9351815b903018fe7b3fc19bc6d2716d3aa71c30c4acf934dee2531cfff58564
BA007267,MARES_2060885,CS,1,null,305a376f-8e4b-49c9-9724-332bea55780f,c441ccb5-37ea-441f-82d6-b9f02a932d49,null,null,d5e0b0638fde99493e306c7e83be43abfbd08bceaa75a26e2a4498da4d8121fe
BA000793,DISTRIBUIDORA_EUROPEA_66382,UN,24,null,305a376f-8e4b-49c9-9724-332bea55780f,c441ccb5-37ea-441f-82d6-b9f02a932d49,null,null,05e22a9bba49568239c77e0ede35875f15d80b2223a66080f2a15e91edf962d7
BA024990,THE_TESALIA_30001,PAL,0.01098901098901099,null,305a376f-8e4b-49c9-9724-332bea55780f,c441ccb5-37ea-441f-82d6-b9f02a932d49,null,null,cdcec4325d6f388496367d7494bf8e5633d03d269a283b46ea311e9060b8ba66
BA013314,THE_TESALIA_30001,CJE,1,null,305a376f-8e4b-49c9-9724-332bea55780f,c441ccb5-37ea-441f-82d6-b9f02a932d49,null,null,e2e1dd329e45c060b404a3015a75527f67d8b1b36f648ebe9195b1012839c5da
BA018280,PEPSICOLA_PUERTO_RICO_66336,CJE,1,null,305a376f-8e4b-49c9-9724-332bea55780f,c441ccb5-37ea-441f-82d6-b9f02a932d49,null,null,71f6e3621ef780012f1fc0047adb52e3409160321fa25ea8146e1878d400bcaf
BA004275,THE_TESALIA_30001,CS,1,null,305a376f-8e4b-49c9-9724-332bea55780f,c441ccb5-37ea-441f-82d6-b9f02a932d49,null,null,eba8512e5bdabad3f782f2b20783ca07aeab653817d7da334d6b61cb20f8ec06
BA004896,EMBOTELLADORA_LA_MARIPOSA_66328,CS,1,null,305a376f-8e4b-49c9-9724-332bea55780f,c441ccb5-37ea-441f-82d6-b9f02a932d49,null,null,191005c8d7383cd226d2f5db430bcbe33a98a01d024cb74f68c0b2dccfaa01b7
BA006204,THE_TESALIA_30001,CS,1,null,305a376f-8e4b-49c9-9724-332bea55780f,c441ccb5-37ea-441f-82d6-b9f02a932d49,null,null,35a36d736a5868e97b5f72b3e091e497b5ecc7265201958f95e215942da1b846
BA011683,THE_TESALIA_30001,PAL,0.011904761904761904,null,305a376f-8e4b-49c9-9724-332bea55780f,c441ccb5-37ea-441f-82d6-b9f02a932d49,null,null,a433800b54114b69739d01f0625f3f33919d54d5e14623e87a2f9d0bb2909998
BA025078,EMBOTELLADORA_LA_MARIPOSA_66328,CJE,1,null,305a376f-8e4b-49c9-9724-332bea55780f,c441ccb5-37ea-441f-82d6-b9f02a932d49,null,null,b262a17a12fb4a3e4ad927ba7903c6ba8de91d437030c8efb83c91ecd28045a2
