value,Description,integration_id,record_key_hash,execution_id,create_timestamp,last_updated_timestamp
20260408,Brands Collaboration,null,null,467b5d4d-fb26-41c9-92ad-6cf39662bf0a,2026-02-25T13:03:16.455Z,2026-02-25T13:03:16.455Z
20260210,Brands Collaboration,null,null,467b5d4d-fb26-41c9-92ad-6cf39662bf0a,2026-02-25T13:03:16.455Z,2026-02-25T13:03:16.455Z
20260717,Final PO,null,null,467b5d4d-fb26-41c9-92ad-6cf39662bf0a,2026-02-25T13:03:16.455Z,2026-02-25T13:03:16.455Z
20260203,Demand Forecast ,null,null,467b5d4d-fb26-41c9-92ad-6cf39662bf0a,2026-02-25T13:03:16.455Z,2026-02-25T13:03:16.455Z
20260413,ModifyDistributor,null,null,467b5d4d-fb26-41c9-92ad-6cf39662bf0a,2026-02-25T13:03:16.455Z,2026-02-25T13:03:16.455Z
20260410,Demand Collaboration,null,null,467b5d4d-fb26-41c9-92ad-6cf39662bf0a,2026-02-25T13:03:16.455Z,2026-02-25T13:03:16.455Z
20260811,Demand Collaboration,null,null,467b5d4d-fb26-41c9-92ad-6cf39662bf0a,2026-02-25T13:03:16.455Z,2026-02-25T13:03:16.455Z
20260102,Demand Forecast ,null,null,467b5d4d-fb26-41c9-92ad-6cf39662bf0a,2026-02-25T13:03:16.455Z,2026-02-25T13:03:16.455Z
20260312,Forecast Accuracy and Stockout,null,null,467b5d4d-fb26-41c9-92ad-6cf39662bf0a,2026-02-25T13:03:16.455Z,2026-02-25T13:03:16.455Z
20260218,Final PO,null,null,467b5d4d-fb26-41c9-92ad-6cf39662bf0a,2026-02-25T13:03:16.455Z,2026-02-25T13:03:16.455Z
20260612,Forecast Accuracy and Stockout,null,null,467b5d4d-fb26-41c9-92ad-6cf39662bf0a,2026-02-25T13:03:16.455Z,2026-02-25T13:03:16.455Z
20260113,Forecast Accuracy and Stockout,null,null,467b5d4d-fb26-41c9-92ad-6cf39662bf0a,2026-02-25T13:03:16.455Z,2026-02-25T13:03:16.455Z
20260508,Brands Collaboration,null,null,467b5d4d-fb26-41c9-92ad-6cf39662bf0a,2026-02-25T13:03:16.455Z,2026-02-25T13:03:16.455Z
20260501,Demand Forecast ,null,null,467b5d4d-fb26-41c9-92ad-6cf39662bf0a,2026-02-25T13:03:16.455Z,2026-02-25T13:03:16.455Z
20260918,Final PO,null,null,467b5d4d-fb26-41c9-92ad-6cf39662bf0a,2026-02-25T13:03:16.455Z,2026-02-25T13:03:16.455Z
20260112,ModifyDistributor,null,null,467b5d4d-fb26-41c9-92ad-6cf39662bf0a,2026-02-25T13:03:16.455Z,2026-02-25T13:03:16.455Z
20260519,Final PO,null,null,467b5d4d-fb26-41c9-92ad-6cf39662bf0a,2026-02-25T13:03:16.455Z,2026-02-25T13:03:16.455Z
20260310,Brands Collaboration,null,null,467b5d4d-fb26-41c9-92ad-6cf39662bf0a,2026-02-25T13:03:16.455Z,2026-02-25T13:03:16.455Z
20261009,Demand Collaboration,null,null,467b5d4d-fb26-41c9-92ad-6cf39662bf0a,2026-02-25T13:03:16.455Z,2026-02-25T13:03:16.455Z
20260303,Demand Forecast ,null,null,467b5d4d-fb26-41c9-92ad-6cf39662bf0a,2026-02-25T13:03:16.455Z,2026-02-25T13:03:16.455Z
20260609,Brands Collaboration,null,null,467b5d4d-fb26-41c9-92ad-6cf39662bf0a,2026-02-25T13:03:16.455Z,2026-02-25T13:03:16.455Z
20260602,Demand Forecast ,null,null,467b5d4d-fb26-41c9-92ad-6cf39662bf0a,2026-02-25T13:03:16.455Z,2026-02-25T13:03:16.455Z
20261103,Demand Forecast ,null,null,467b5d4d-fb26-41c9-92ad-6cf39662bf0a,2026-02-25T13:03:16.455Z,2026-02-25T13:03:16.455Z
20260101,Sales Collaboration Volumen,null,null,467b5d4d-fb26-41c9-92ad-6cf39662bf0a,2026-02-25T13:03:16.455Z,2026-02-25T13:03:16.455Z
20260402,Demand Forecast ,null,null,467b5d4d-fb26-41c9-92ad-6cf39662bf0a,2026-02-25T13:03:16.455Z,2026-02-25T13:03:16.455Z
20260212,Forecast Accuracy and Stockout,null,null,467b5d4d-fb26-41c9-92ad-6cf39662bf0a,2026-02-25T13:03:16.455Z,2026-02-25T13:03:16.455Z
20260714,Forecast Accuracy and Stockout,null,null,467b5d4d-fb26-41c9-92ad-6cf39662bf0a,2026-02-25T13:03:16.455Z,2026-02-25T13:03:16.455Z
20260120,Final PO,null,null,467b5d4d-fb26-41c9-92ad-6cf39662bf0a,2026-02-25T13:03:16.455Z,2026-02-25T13:03:16.455Z
20260618,Final PO,null,null,467b5d4d-fb26-41c9-92ad-6cf39662bf0a,2026-02-25T13:03:16.455Z,2026-02-25T13:03:16.455Z
20260417,Final PO,null,null,467b5d4d-fb26-41c9-92ad-6cf39662bf0a,2026-02-25T13:03:16.455Z,2026-02-25T13:03:16.455Z
20261210,Demand Collaboration,null,null,467b5d4d-fb26-41c9-92ad-6cf39662bf0a,2026-02-25T13:03:16.455Z,2026-02-25T13:03:16.455Z
20260109,Demand Collaboration,null,null,467b5d4d-fb26-41c9-92ad-6cf39662bf0a,2026-02-25T13:03:16.455Z,2026-02-25T13:03:16.455Z
20260702,Demand Forecast ,null,null,467b5d4d-fb26-41c9-92ad-6cf39662bf0a,2026-02-25T13:03:16.455Z,2026-02-25T13:03:16.455Z
20260401,Sales Collaboration Volumen,null,null,467b5d4d-fb26-41c9-92ad-6cf39662bf0a,2026-02-25T13:03:16.455Z,2026-02-25T13:03:16.455Z
Distributor,Distributor,null,null,467b5d4d-fb26-41c9-92ad-6cf39662bf0a,2026-02-25T13:03:16.455Z,2026-02-25T13:03:16.455Z
20260318,Final PO,null,null,467b5d4d-fb26-41c9-92ad-6cf39662bf0a,2026-02-25T13:03:16.455Z,2026-02-25T13:03:16.455Z
20260710,Demand Collaboration,null,null,467b5d4d-fb26-41c9-92ad-6cf39662bf0a,2026-02-25T13:03:16.455Z,2026-02-25T13:03:16.455Z
20260708,Brands Collaboration,null,null,467b5d4d-fb26-41c9-92ad-6cf39662bf0a,2026-02-25T13:03:16.455Z,2026-02-25T13:03:16.455Z
ModifyDistributor,ModifyDistributor,null,null,467b5d4d-fb26-41c9-92ad-6cf39662bf0a,2026-02-25T13:03:16.455Z,2026-02-25T13:03:16.455Z
20260108,Brands Collaboration,null,null,467b5d4d-fb26-41c9-92ad-6cf39662bf0a,2026-02-25T13:03:16.455Z,2026-02-25T13:03:16.455Z
20260414,Forecast Accuracy and Stockout,null,null,467b5d4d-fb26-41c9-92ad-6cf39662bf0a,2026-02-25T13:03:16.455Z,2026-02-25T13:03:16.455Z
Year,Year,null,null,467b5d4d-fb26-41c9-92ad-6cf39662bf0a,2026-02-25T13:03:16.455Z,2026-02-25T13:03:16.455Z
