material,id_producing_plant,cod_cliente,tipo_costo,mes,valor,year,integration_id,record_key_hash,execution_id,create_timestamp,last_updated_timestamp
AA276145,SP00,66377,RAW MATERIALS,9,5.506323211552128,2026,AA276145~SP00~66377~RAW MATERIALS~2026~9,9159c10e5f4438f502fc6ffc8e928aef1a562b772db76b9282ccbebd599ad8e0,1f47938c-5c62-4929-8611-1ec3663a7048,2026-02-25T12:10:56.184Z,2026-02-25T12:10:56.184Z
BA019658,SP00,66274,STRATEGIC MATERIALS,5,0.08867728917057463,2026,BA019658~SP00~66274~STRATEGIC MATERIALS~2026~5,ac5d375f29b1966dd7d7b88e0a0e4a46339f315a77582670504b0ba0d6fdb1a1,1f47938c-5c62-4929-8611-1ec3663a7048,2026-02-25T12:10:56.184Z,2026-02-25T12:10:56.184Z
AA279145,SP00,66317,PRODUCTION FEE,6,1.17,2026,AA279145~SP00~66317~PRODUCTION FEE~2026~6,09caeb35f089cd69865a163cf6b4fd44873dc94ee291a9faabc6202a4a138e1e,1f47938c-5c62-4929-8611-1ec3663a7048,2026-02-25T12:10:56.184Z,2026-02-25T12:10:56.184Z
AA648145,SP00,66377,FREIGHT,7,1.0695578978572648,2026,AA648145~SP00~66377~FREIGHT~2026~7,9384948ef3161ed3a9a5df2a5fe523f0a93b1993048c387ca74017b015d56446,1f47938c-5c62-4929-8611-1ec3663a7048,2026-02-25T12:10:56.184Z,2026-02-25T12:10:56.184Z
BA001446,SP00,66377,ESCENARIOS,2,0,2026,BA001446~SP00~66377~ESCENARIOS~2026~2,b7e95f5d6ba3e507c40491f0a57420faa58abc5a6e6a07f23e6d443fb562f207,1f47938c-5c62-4929-8611-1ec3663a7048,2026-02-25T12:10:56.184Z,2026-02-25T12:10:56.184Z
BA022910,SP00,66274,RAW MATERIALS,11,5.32967112812905,2026,BA022910~SP00~66274~RAW MATERIALS~2026~11,d3dcb304127799abbf021cd8c32bc333e6b9d2bc87eccb284b7a3471528b4a03,1f47938c-5c62-4929-8611-1ec3663a7048,2026-02-25T12:10:56.184Z,2026-02-25T12:10:56.184Z
BA003175,SP00,2060892,PRODUCTION FEE,6,1.17,2026,BA003175~SP00~2060892~PRODUCTION FEE~2026~6,0d6427969984966eef0c2071d04eb5197c310809d1d7894ed44577ae216f718f,1f47938c-5c62-4929-8611-1ec3663a7048,2026-02-25T12:10:56.184Z,2026-02-25T12:10:56.184Z
AA251191,SP00,2067820,RAW MATERIALS,6,4.2373341228702746,2026,AA251191~SP00~2067820~RAW MATERIALS~2026~6,6d17db1f852cdb0b9ea0a58d89989dc46a833d4a10de310e606db1a05c148503,1f47938c-5c62-4929-8611-1ec3663a7048,2026-02-25T12:10:56.184Z,2026-02-25T12:10:56.184Z
AA066145,SP00,2108340,STRATEGIC MATERIALS,12,0.3566823203395823,2026,AA066145~SP00~2108340~STRATEGIC MATERIALS~2026~12,ebf33d9b9bbe573cc8634821e02c5a564880500f7ff08d0a447952d3126b9406,1f47938c-5c62-4929-8611-1ec3663a7048,2026-02-25T12:10:56.184Z,2026-02-25T12:10:56.184Z
AA761389,J001,66301,PRODUCTION FEE,10,0,2026,AA761389~J001~66301~PRODUCTION FEE~2026~10,14677b7dd9ea5e051b6b522ce30379de6971d7470c4725e6151ad34cac1c144d,1f47938c-5c62-4929-8611-1ec3663a7048,2026-02-25T12:10:56.184Z,2026-02-25T12:10:56.184Z
BA011198,SP00,2108340,RAW MATERIALS,5,2.257531964578742,2026,BA011198~SP00~2108340~RAW MATERIALS~2026~5,c63945c06937c4f9b9df5d9f68998119d2023e702492ed95a3ee02175feed766,1f47938c-5c62-4929-8611-1ec3663a7048,2026-02-25T12:10:56.184Z,2026-02-25T12:10:56.184Z
BA011263,GP00,2108340,STRATEGIC MATERIALS,5,0,2026,BA011263~GP00~2108340~STRATEGIC MATERIALS~2026~5,6c2f2005cec54c5e30c103db1817f89e90dd9b23cc0d6aa8d5e8cab457aa5691,1f47938c-5c62-4929-8611-1ec3663a7048,2026-02-25T12:10:56.184Z,2026-02-25T12:10:56.184Z
