calendar,displayValue,value,integration_id,record_key_hash,execution_id,create_timestamp,last_updated_timestamp
ClosedLoop,21/10/2024,20241021,null,null,86b6d8c0-5b62-4ea9-851a-3d1df8cd9619,2026-02-26T04:25:23.573Z,2026-02-26T04:25:23.584Z
ClosedLoop,21/04/2026,20260421,null,null,86b6d8c0-5b62-4ea9-851a-3d1df8cd9619,2026-02-26T04:25:23.573Z,2026-02-26T04:25:23.584Z
ClosedLoop,21/06/2026,20260621,null,null,86b6d8c0-5b62-4ea9-851a-3d1df8cd9619,2026-02-26T04:25:23.573Z,2026-02-26T04:25:23.584Z
ClosedLoop,21/12/2023,20231221,null,null,86b6d8c0-5b62-4ea9-851a-3d1df8cd9619,2026-02-26T04:25:23.573Z,2026-02-26T04:25:23.584Z
ClosedLoop,21/10/2026,20261021,null,null,86b6d8c0-5b62-4ea9-851a-3d1df8cd9619,2026-02-26T04:25:23.573Z,2026-02-26T04:25:23.584Z
ClosedLoop,21/12/2026,20261221,null,null,86b6d8c0-5b62-4ea9-851a-3d1df8cd9619,2026-02-26T04:25:23.573Z,2026-02-26T04:25:23.584Z
ClosedLoop,21/02/2027,20270221,null,null,86b6d8c0-5b62-4ea9-851a-3d1df8cd9619,2026-02-26T04:25:23.573Z,2026-02-26T04:25:23.584Z
ClosedLoop,21/04/2024,20240421,null,null,86b6d8c0-5b62-4ea9-851a-3d1df8cd9619,2026-02-26T04:25:23.573Z,2026-02-26T04:25:23.584Z
ClosedLoop,21/06/2027,20270621,null,null,86b6d8c0-5b62-4ea9-851a-3d1df8cd9619,2026-02-26T04:25:23.573Z,2026-02-26T04:25:23.584Z
ClosedLoop,21/08/2027,20270821,null,null,86b6d8c0-5b62-4ea9-851a-3d1df8cd9619,2026-02-26T04:25:23.573Z,2026-02-26T04:25:23.584Z
ClosedLoop,21/10/2027,20271021,null,null,86b6d8c0-5b62-4ea9-851a-3d1df8cd9619,2026-02-26T04:25:23.573Z,2026-02-26T04:25:23.584Z
ClosedLoop,21/08/2024,20240821,null,null,86b6d8c0-5b62-4ea9-851a-3d1df8cd9619,2026-02-26T04:25:23.573Z,2026-02-26T04:25:23.584Z
ClosedLoop,21/02/2028,20280221,null,null,86b6d8c0-5b62-4ea9-851a-3d1df8cd9619,2026-02-26T04:25:23.573Z,2026-02-26T04:25:23.584Z
ClosedLoop,21/04/2028,20280421,null,null,86b6d8c0-5b62-4ea9-851a-3d1df8cd9619,2026-02-26T04:25:23.573Z,2026-02-26T04:25:23.584Z
