customer_id,part_site_value,customer_site_value,part_name,forecast_item_path,integration_id,execution_id,workflow_execution_id,create_timestamp,last_updated_timestamp,record_key_hash
66336,PEPSICOLA_PUERTO_RICO_66336,PEPSICOLA_PUERTO_RICO_66336,BA011507,BA011507_PEPSICOLA_PUERTO_RICO_66336,66336,ee8e49f9-2ef4-445a-88a2-22db92454225,dec2219f-a6a2-4255-b582-3e3102593a42,2026-02-25T06:24:11.175Z,2026-02-25T06:24:11.196Z,fc475de25e8eea8f3899d5808bb7f35ead294f8aea334c095eee399b7a35f4f7
30001,THE_TESALIA_30001,THE_TESALIA_30001,BA013132,BA013132_THE_TESALIA_30001,30001,ee8e49f9-2ef4-445a-88a2-22db92454225,dec2219f-a6a2-4255-b582-3e3102593a42,2026-02-25T06:24:11.175Z,2026-02-25T06:24:11.196Z,a746369beb5fc06d6cb5ac26fcb6f6e801a201e89808ec7513329fbaca92bab3
67075,SKANDRA S.A._67075,SKANDRA S.A._67075,BA010945,BA010945_SKANDRA S.A._67075,67075,ee8e49f9-2ef4-445a-88a2-22db92454225,dec2219f-a6a2-4255-b582-3e3102593a42,2026-02-25T06:24:11.175Z,2026-02-25T06:24:11.196Z,7d0d7bf383b73bb1fcf6234b4ef8c91098a6ff2ff4d2dc624cdc9e8a3cc28c9c
66310,IBERIA_FOODS_NE_66310,IBERIA_FOODS_NE_66310,AA761392,AA761392_IBERIA_FOODS_NE_66310,66310,ee8e49f9-2ef4-445a-88a2-22db92454225,dec2219f-a6a2-4255-b582-3e3102593a42,2026-02-25T06:24:11.175Z,2026-02-25T06:24:11.196Z,aa51bb7d8431e7af05387de27af0955a47a94771f544250137679520d22efc1a
30001,THE_TESALIA_30001,THE_TESALIA_30001,BA012768,BA012768_THE_TESALIA_30001,30001,ee8e49f9-2ef4-445a-88a2-22db92454225,dec2219f-a6a2-4255-b582-3e3102593a42,2026-02-25T06:24:11.175Z,2026-02-25T06:24:11.196Z,7d2b416349fd482c26a287b951759abc078b188bab17808ba6b26cfaba3ff814
30001,THE_TESALIA_30001,THE_TESALIA_30001,BA000252,BA000252_THE_TESALIA_30001,30001,ee8e49f9-2ef4-445a-88a2-22db92454225,dec2219f-a6a2-4255-b582-3e3102593a42,2026-02-25T06:24:11.175Z,2026-02-25T06:24:11.196Z,32420a48b55017f1cf7c08d598bff44bdaeccb639f723e620a67fe5459623a90
2067820,TRANSMUNDI_2067820,TRANSMUNDI_2067820,BA020931,BA020931_TRANSMUNDI_2067820,2067820,ee8e49f9-2ef4-445a-88a2-22db92454225,dec2219f-a6a2-4255-b582-3e3102593a42,2026-02-25T06:24:11.175Z,2026-02-25T06:24:11.196Z,eedc7e418bc6d4ce0f763fafce2cc5b07dab32789ab58ff7958601ff97bee975
66516,GLOBAL_FLAVORS_66516,GLOBAL_FLAVORS_66516,AA279622,AA279622_GLOBAL_FLAVORS_66516,66516,ee8e49f9-2ef4-445a-88a2-22db92454225,dec2219f-a6a2-4255-b582-3e3102593a42,2026-02-25T06:24:11.175Z,2026-02-25T06:24:11.196Z,8cf88f1edbe0fe3910c21a31b24bd8e9f75ba5de1198c355dbe42661cd85c681
66317,IBERIA_FOODS_NY_66317,IBERIA_FOODS_NY_66317,BA010913,BA010913_IBERIA_FOODS_NY_66317,66317,ee8e49f9-2ef4-445a-88a2-22db92454225,dec2219f-a6a2-4255-b582-3e3102593a42,2026-02-25T06:24:11.175Z,2026-02-25T06:24:11.196Z,b9a860fdfc0b2e020256e804c099f118b46a8f123e0e845efe443c9ced1a23d0
2108340,IMPADOEL_2108340,IMPADOEL_2108340,BA017302,BA017302_IMPADOEL_2108340,2108340,ee8e49f9-2ef4-445a-88a2-22db92454225,dec2219f-a6a2-4255-b582-3e3102593a42,2026-02-25T06:24:11.175Z,2026-02-25T06:24:11.196Z,35f9f39546effd694763b364c165be23830fd9b1864b7c60f431acd114596023
2060890,EMBOTELLADORA_LA_NACIONAL_2060890,EMBOTELLADORA_LA_NACIONAL_2060890,BA008071,BA008071_EMBOTELLADORA_LA_NACIONAL_2060890,2060890,ee8e49f9-2ef4-445a-88a2-22db92454225,dec2219f-a6a2-4255-b582-3e3102593a42,2026-02-25T06:24:11.175Z,2026-02-25T06:24:11.196Z,47f10accf4bb5c2a2bdb7de127223c4ec78df0aada6c8a9dba65739a0762d720
67075,SKANDRA S.A._67075,SKANDRA S.A._67075,BA004897,BA004897_SKANDRA S.A._67075,67075,ee8e49f9-2ef4-445a-88a2-22db92454225,dec2219f-a6a2-4255-b582-3e3102593a42,2026-02-25T06:24:11.175Z,2026-02-25T06:24:11.196Z,babba2dec5d41ba51655214eea0eaa70d556b1da043f8e47dc8e0e3986cc7963
66309,BREWERIES_66309,BREWERIES_66309,AA761602,AA761602_BREWERIES_66309,66309,ee8e49f9-2ef4-445a-88a2-22db92454225,dec2219f-a6a2-4255-b582-3e3102593a42,2026-02-25T06:24:11.175Z,2026-02-25T06:24:11.196Z,0e78333dfa844b962d1ae6d89ebf36f54b75861e2c597db44f9c23530f9bfbe9
66402,C.E.L._DISTRIBUTORS_66402,C.E.L._DISTRIBUTORS_66402,AA583391,AA583391_C.E.L._DISTRIBUTORS_66402,66402,ee8e49f9-2ef4-445a-88a2-22db92454225,dec2219f-a6a2-4255-b582-3e3102593a42,2026-02-25T06:24:11.175Z,2026-02-25T06:24:11.196Z,8960d7fea1d382a18269c7d4db2253387be1a95c405bd62af5f916d4f5e9cea6
2108340,IMPADOEL_2108340,IMPADOEL_2108340,AA282158,AA282158_IMPADOEL_2108340,2108340,ee8e49f9-2ef4-445a-88a2-22db92454225,dec2219f-a6a2-4255-b582-3e3102593a42,2026-02-25T06:24:11.175Z,2026-02-25T06:24:11.196Z,9a16a30a317607ed6d585a802e509b0c3202400d6d2b0f7ce6ae4ce8eb33fa37
2060890,EMBOTELLADORA_LA_NACIONAL_2060890,EMBOTELLADORA_LA_NACIONAL_2060890,BA018383,BA018383_EMBOTELLADORA_LA_NACIONAL_2060890,2060890,ee8e49f9-2ef4-445a-88a2-22db92454225,dec2219f-a6a2-4255-b582-3e3102593a42,2026-02-25T06:24:11.175Z,2026-02-25T06:24:11.196Z,0afa84900f20ee930b929ad0047ee9de63a98c4d8c9f685ae33551369a98780b
