batch_execution_id,batch_name,start_time,end_time,status,total_workflows,successful_workflows,failed_workflows,skipped_workflows,error_message,last_updated_at,executed_workflows
BATCH_20260216_032008_74442a,Daily Databricks Batch - Synexis,2026-02-16T03:20:08.931Z,2026-02-16T03:29:05.667Z,Failed,20,9,0,0,Layer 'SILVER' failed: Layer SILVER (index 1) failed with 2 failed workflows out of 8 total workflows. Stopping batch execution due to fail-fast policy.,2026-02-16T03:28:33.643Z,null
BATCH_20260216_032008_ffff23,Daily Databricks Batch - Synexis,2026-02-16T03:20:09.100Z,2026-02-16T03:20:09.100Z,Failed,20,0,0,0,null,2026-02-16T03:20:09.100Z,null
BATCH_20260216_030051_843818,Daily Databricks Batch - Synexis,2026-02-16T03:00:51.387Z,2026-02-16T03:13:53.604Z,Success,5,5,0,0,null,2026-02-16T03:13:38.610Z,null
BATCH_20260213_040043_6a38dd,Monthly Databricks Batch - Synexis,2026-02-13T04:00:43.557Z,2026-02-13T04:19:53.857Z,Success,15,15,0,0,null,2026-02-13T04:19:22.328Z,null
BATCH_20260213_030032_7b9429,Daily Databricks Batch - Synexis,2026-02-13T03:00:32.999Z,2026-02-13T03:25:47.613Z,Failed,20,19,1,0,Layer 'GOLD_TXN' failed: Layer GOLD_TXN (index 3) failed with 1 failed workflows out of 5 total workflows. Stopping batch execution due to fail-fast policy.,2026-02-13T03:25:37.563Z,null
BATCH_20260212_042413_4cf474,Daily Databricks Batch - Synexis,2026-02-12T04:24:13.450Z,2026-02-12T04:49:25.029Z,Success,20,20,0,0,null,2026-02-12T04:49:09.824Z,null
BATCH_20260212_040028_00b2e6,Monthly Databricks Batch - Synexis,2026-02-12T04:00:28.777Z,2026-02-12T04:35:28.731Z,Success,15,15,0,0,null,2026-02-12T04:35:09.354Z,null
BATCH_20260212_030044_d44aac,Daily Databricks Batch - Synexis,2026-02-12T03:00:44.478Z,2026-02-12T03:14:49.937Z,Failed,20,10,0,0,Layer 'SILVER' failed: Layer SILVER (index 1) failed with 1 failed workflows out of 8 total workflows. Stopping batch execution due to fail-fast policy.,2026-02-12T03:14:29.742Z,null
BATCH_20260212_012826_156a4f,Daily Databricks Batch - Synexis,2026-02-12T01:28:26.701Z,2026-02-12T01:33:15.536Z,Failed,17,7,0,0,Layer 'SILVER' failed: Layer SILVER (index 0) failed with 1 failed workflows out of 8 total workflows. Stopping batch execution due to fail-fast policy.,2026-02-12T01:32:57.333Z,null
BATCH_20260211_235408_0556e0,Daily Databricks Batch - Synexis,2026-02-11T23:54:08.910Z,2026-02-12T00:11:27.058Z,Failed,20,6,5,0,Layer 'SILVER' failed: Layer SILVER (index 1) failed with 5 failed workflows out of 8 total workflows. Stopping batch execution due to fail-fast policy.,2026-02-12T00:11:10.143Z,null
BATCH_20260211_040033_77f25f,Monthly Databricks Batch - Synexis,2026-02-11T04:00:33.887Z,2026-02-11T04:20:30.594Z,Success,15,15,0,0,null,2026-02-11T04:20:14.327Z,null
BATCH_20260211_030044_b2a736,Daily Databricks Batch - Synexis,2026-02-11T03:00:44.245Z,2026-02-11T03:26:59.112Z,Success,20,20,0,0,null,2026-02-11T03:26:22.602Z,null
BATCH_20260210_040033_d13db1,Monthly Databricks Batch - Synexis,2026-02-10T04:00:33.832Z,2026-02-10T04:20:03.997Z,Success,15,15,0,0,null,2026-02-10T04:19:43.691Z,null
BATCH_20260210_030037_67647f,Daily Databricks Batch - Synexis,2026-02-10T03:00:37.911Z,2026-02-10T03:30:02.122Z,Success,20,20,0,0,null,2026-02-10T03:29:48.301Z,null
BATCH_20260209_040041_979fe0,Monthly Databricks Batch - Synexis,2026-02-09T04:00:41.850Z,2026-02-09T04:17:27.628Z,Success,15,15,0,0,null,2026-02-09T04:17:09.095Z,null
BATCH_20260209_032326_c3388c,Daily Databricks Batch - Synexis,2026-02-09T03:23:26.977Z,2026-02-09T03:40:07.839Z,Success,20,20,0,0,null,2026-02-09T03:39:43.356Z,null
