task_execution_id,workflow_execution_id,batch_execution_id,task_name,status,start_time,end_time,records_inserted,records_updated,error_message,last_updated_at
8f5bbf23-4824-44d4-84ce-47ed65b1b7b2,15fcc555-f52d-4aef-9425-ab658c8f2202,BATCH_20260225_070032_317bfd,load_gold_ScheduledReceiptRequisition,Success,2026-02-25T07:12:19.712Z,2026-02-25T07:12:52.800Z,0,0,null,2026-02-25T13:12:54.765Z
69cb8cbb-e3e8-4478-94f1-d1762220c90c,e7b1412f-9857-4ba0-83c0-672ee6ecca96,BATCH_20260225_070032_317bfd,load_gold_part_supplier_mapping,Success,2026-02-25T07:12:10.842Z,2026-02-25T07:12:36.847Z,0,0,null,2026-02-25T13:12:38.096Z
3d2a4b98-a59e-4f41-a107-06410f32f7db,970eaae9-eb36-41c2-896a-6b0d8b5b1174,BATCH_20260225_070032_317bfd,upload_gold_supplier,Success,2026-02-25T07:09:42.167Z,2026-02-25T07:10:07.813Z,0,0,null,2026-02-25T13:10:09.233Z
9c6af08f-4187-42af-a5b2-7bc6ca2ff1a0,4357cae3-0465-48ed-ba5d-54d0871224ca,BATCH_20260225_070032_317bfd,upload_gold_calendar_date_dim,Success,2026-02-25T07:09:22.898Z,2026-02-25T07:09:53.048Z,0,0,null,2026-02-25T13:09:54.125Z
924e69bf-94e9-4a00-a5e0-cc1bba549f89,d76fb2c4-c93e-4cd4-9dcf-f36e4aa5f91b,BATCH_20260225_070032_317bfd,upload_gold_currency_conversion_actual,Success,2026-02-25T07:08:37.413Z,2026-02-25T07:09:06.497Z,0,0,null,2026-02-25T13:09:08.144Z
1a74d0b8-972e-4a54-b8a2-bed5fe73b332,c079be7c-6e69-4840-816b-ea4fde8b1a69,BATCH_20260225_070032_317bfd,upload_gold_currency_conversion_forecast,Success,2026-02-25T07:08:09.048Z,2026-02-25T07:08:33.700Z,0,0,null,2026-02-25T13:08:34.807Z
8f75df69-1678-4599-b0bc-92d00a6df885,970eaae9-eb36-41c2-896a-6b0d8b5b1174,BATCH_20260225_070032_317bfd,load_gold_supplier,Success,2026-02-25T07:07:02.361Z,2026-02-25T07:07:59.140Z,0,0,null,2026-02-25T13:08:01.279Z
da5c9111-7c3a-4199-9edd-2f3d2fc9ecb9,4357cae3-0465-48ed-ba5d-54d0871224ca,BATCH_20260225_070032_317bfd,load_gold_calendar_date_dim,Success,2026-02-25T07:07:19.377Z,2026-02-25T07:07:40.502Z,0,0,null,2026-02-25T13:07:41.968Z
c9efa716-42a4-4181-ae9e-9aa251fb757b,d76fb2c4-c93e-4cd4-9dcf-f36e4aa5f91b,BATCH_20260225_070032_317bfd,load_gold_currency_conversion_actual,Success,2026-02-25T07:06:37.889Z,2026-02-25T07:06:50.785Z,0,0,null,2026-02-25T13:06:52.103Z
3ada8252-d78f-4648-a70f-3db6ed7ad352,c079be7c-6e69-4840-816b-ea4fde8b1a69,BATCH_20260225_070032_317bfd,load_gold_currency_conversion_forecast,Success,2026-02-25T07:06:27.455Z,2026-02-25T07:06:37.752Z,0,0,null,2026-02-25T13:06:38.785Z
f9afd59a-a3c7-433f-af8b-f1d9d7f35a7c,8852811f-e3c6-414b-81bb-c1d783ef401c,BATCH_20260225_070032_317bfd,upload_silver_calendar,Success,2026-02-25T07:04:32.277Z,2026-02-25T07:04:54.780Z,0,0,null,2026-02-25T13:04:56.099Z
467b5d4d-fb26-41c9-92ad-6cf39662bf0a,8852811f-e3c6-414b-81bb-c1d783ef401c,BATCH_20260225_070032_317bfd,load_silver_calendar,Success,2026-02-25T07:03:07.967Z,2026-02-25T07:03:19.333Z,0,0,null,2026-02-25T13:03:20.183Z
aa94e30e-56cb-462e-b678-14f299701744,bc9df232-421b-4813-a606-b4a851ac7845,BATCH_20260225_070032_317bfd,load_silver_work_holidays,Success,2026-02-25T07:01:16.449Z,2026-02-25T07:01:23.746Z,0,0,null,2026-02-25T13:01:24.997Z
eb17028e-c11b-4a50-be1f-5e30a310c66f,bd2bad2d-7bd8-4742-9037-88bd1b09924b,BATCH_20260225_060053_da9aaa,upload_gold_stockout,Success,2026-02-25T06:27:02.576Z,2026-02-25T06:27:17.181Z,0,0,null,2026-02-25T12:27:18.109Z
bc44a682-8033-424a-b461-145bfe1f2981,dec2219f-a6a2-4255-b582-3e3102593a42,BATCH_20260225_060053_da9aaa,upload_gold_part_customer,Success,2026-02-25T06:26:09.713Z,2026-02-25T06:26:30.846Z,0,0,null,2026-02-25T12:26:31.567Z
80bb0c8d-77f6-4c36-a787-9c249370fa6b,bd2bad2d-7bd8-4742-9037-88bd1b09924b,BATCH_20260225_060053_da9aaa,load_gold_stockout,Success,2026-02-25T06:23:50.962Z,2026-02-25T06:26:25.187Z,0,0,null,2026-02-25T12:26:25.944Z
ddfa2d92-5f9b-4aa4-8816-32b1617a7d00,3d396c60-0e82-4958-8418-88a0e24ff834,BATCH_20260225_060053_da9aaa,upload_gold_onhand,Success,2026-02-25T06:25:15.574Z,2026-02-25T06:25:57.480Z,0,0,null,2026-02-25T12:25:58.713Z
e5244159-685d-426d-9f90-395498aaf187,c441ccb5-37ea-441f-82d6-b9f02a932d49,BATCH_20260225_060053_da9aaa,upload_gold_part_uom_conversion,Success,2026-02-25T06:25:17.330Z,2026-02-25T06:25:51.112Z,0,0,null,2026-02-25T12:25:52.157Z
b54499d2-8967-470b-89a4-520d8cdb2254,00a9dd3b-3fb0-47ae-978b-875542255d0b,BATCH_20260225_060053_da9aaa,upload_gold_customer_price,Success,2026-02-25T06:24:56.142Z,2026-02-25T06:25:37.261Z,0,0,null,2026-02-25T12:25:38.265Z
ee8e49f9-2ef4-445a-88a2-22db92454225,dec2219f-a6a2-4255-b582-3e3102593a42,BATCH_20260225_060053_da9aaa,load_gold_part_customer,Success,2026-02-25T06:23:55.370Z,2026-02-25T06:24:17.389Z,0,0,null,2026-02-25T12:24:56.203Z
305a376f-8e4b-49c9-9724-332bea55780f,c441ccb5-37ea-441f-82d6-b9f02a932d49,BATCH_20260225_060053_da9aaa,load_gold_part_uom_conversion,Success,2026-02-25T06:23:52.200Z,2026-02-25T06:24:14.309Z,0,0,null,2026-02-25T12:24:15.574Z
851fe41b-fe98-4cc5-88bd-94578e0d0659,3d396c60-0e82-4958-8418-88a0e24ff834,BATCH_20260225_060053_da9aaa,load_gold_onhand,Success,2026-02-25T06:23:31.640Z,2026-02-25T06:24:07.414Z,0,0,null,2026-02-25T12:24:08.554Z
08e6b2de-2048-46f9-8b52-a1c575ae92f3,00a9dd3b-3fb0-47ae-978b-875542255d0b,BATCH_20260225_060053_da9aaa,load_gold_customerprice,Success,2026-02-25T06:23:28.485Z,2026-02-25T06:23:48.813Z,0,0,null,2026-02-25T12:23:49.862Z
2b429247-201b-45a9-9ab5-3de331fef869,53bc9536-7a82-427d-a108-0087bb0c242c,BATCH_20260225_060053_da9aaa,upload_gold_part_master,Success,2026-02-25T06:21:21.127Z,2026-02-25T06:21:34.638Z,0,0,null,2026-02-25T12:21:35.294Z
27da2458-5531-4db3-8ec3-f3eb70abe953,bf634628-0844-4409-9dde-c80c55cb13ac,BATCH_20260225_060053_da9aaa,upload_gold_site_master,Success,2026-02-25T06:20:48.395Z,2026-02-25T06:21:16.682Z,0,0,null,2026-02-25T12:21:17.478Z
241fcd56-fd9f-4481-af0e-8657de832301,ac63bae0-aabe-47c6-a4d9-37e3c726002e,BATCH_20260225_060053_da9aaa,upload_gold_customer_master,Success,2026-02-25T06:20:40.283Z,2026-02-25T06:21:09.892Z,0,0,null,2026-02-25T12:21:10.829Z
3e74863e-9974-4874-914c-2a4385880206,5e9c3eba-54ad-4226-b0b1-24757885763f,BATCH_20260225_060053_da9aaa,upload_gold_unit_of_measure,Success,2026-02-25T06:20:40.303Z,2026-02-25T06:21:04.668Z,0,0,null,2026-02-25T12:21:05.463Z
