customer_id,part_name,site_value,status,onorder,monthlyclosing,stockout,date,record_key_hash,integration_id,batch_id,execution_id,create_timestamp,last_updated_timestamp
66336,BA023398,PEPSICOLA_PUERTO_RICO_66336,Regular,0.00,0.00,0.00,20250831,ece1765069b7901dfc80d3de0838779f9def24d62657418145148da65414a097,ece1765069b7901dfc80d3de0838779f9def24d62657418145148da65414a097,80bb0c8d-77f6-4c36-a787-9c249370fa6b,bd2bad2d-7bd8-4742-9037-88bd1b09924b,2026-02-19T09:01:49.185Z,2026-02-25T06:25:53.168Z
2060885,BA010901,MARES_2060885,Regular,0.00,0.00,0.00,20251129,891e61a8d560f528c1e8176c3279f17b4c86c5136d27cb66a7afcabbcc12f15a,891e61a8d560f528c1e8176c3279f17b4c86c5136d27cb66a7afcabbcc12f15a,80bb0c8d-77f6-4c36-a787-9c249370fa6b,bd2bad2d-7bd8-4742-9037-88bd1b09924b,2026-02-19T09:01:49.185Z,2026-02-25T06:25:53.168Z
66336,BA023398,PEPSICOLA_PUERTO_RICO_66336,Regular,0.00,0.00,759.32,20250531,e8e5123750ae46a92c54030926615cbe162d8a53b4c1bc0f40ea66efeecfdc02,e8e5123750ae46a92c54030926615cbe162d8a53b4c1bc0f40ea66efeecfdc02,80bb0c8d-77f6-4c36-a787-9c249370fa6b,bd2bad2d-7bd8-4742-9037-88bd1b09924b,2026-02-19T09:01:49.185Z,2026-02-25T06:25:53.168Z
66336,BA023401,PEPSICOLA_PUERTO_RICO_66336,Regular,0.00,0.00,514.35,20250630,0e7a3e2a5ef8ead4c460d096bf33bcc20da76af563a1dce2fa409631119daa75,0e7a3e2a5ef8ead4c460d096bf33bcc20da76af563a1dce2fa409631119daa75,80bb0c8d-77f6-4c36-a787-9c249370fa6b,bd2bad2d-7bd8-4742-9037-88bd1b09924b,2026-02-19T09:01:49.185Z,2026-02-25T06:25:53.168Z
66328,BA018323,EMBOTELLADORA_LA_MARIPOSA_66328,Regular,0.00,0.00,1441.63,20250331,2a185572d1dfc77357972a19da2b20dfe98ae23be4bd17ac753d374d5f760a39,2a185572d1dfc77357972a19da2b20dfe98ae23be4bd17ac753d374d5f760a39,80bb0c8d-77f6-4c36-a787-9c249370fa6b,bd2bad2d-7bd8-4742-9037-88bd1b09924b,2026-02-19T09:01:49.185Z,2026-02-25T06:25:53.168Z
2060885,BA006841,MARES_2060885,Regular,0.00,0.00,18.68,20250331,869f747dd785e1e20f7c17349f8bac848fa4a984c58b0727282cdb2bb5b58107,869f747dd785e1e20f7c17349f8bac848fa4a984c58b0727282cdb2bb5b58107,80bb0c8d-77f6-4c36-a787-9c249370fa6b,bd2bad2d-7bd8-4742-9037-88bd1b09924b,2026-02-19T09:01:49.185Z,2026-02-25T06:25:53.168Z
66328,BA018323,EMBOTELLADORA_LA_MARIPOSA_66328,Regular,0.00,0.00,862.83,20251031,d0a220af807b486613b260df22227b5e81aab0a58f6b1b6aea840705d69c8332,d0a220af807b486613b260df22227b5e81aab0a58f6b1b6aea840705d69c8332,80bb0c8d-77f6-4c36-a787-9c249370fa6b,bd2bad2d-7bd8-4742-9037-88bd1b09924b,2026-02-19T09:01:49.185Z,2026-02-25T06:25:53.168Z
66328,AA001005,EMBOTELLADORA_LA_MARIPOSA_66328,Regular,0.00,0.00,2.00,20251230,4f413632fc7de8c8607be148873e26498f98e8cfb9bfed361ba3f49d18b0fb26,4f413632fc7de8c8607be148873e26498f98e8cfb9bfed361ba3f49d18b0fb26,80bb0c8d-77f6-4c36-a787-9c249370fa6b,bd2bad2d-7bd8-4742-9037-88bd1b09924b,2026-02-19T09:01:49.185Z,2026-02-25T06:25:53.168Z
66336,BA023398,PEPSICOLA_PUERTO_RICO_66336,Regular,0.00,0.00,0.00,20251130,de61fa7415082e60270e63c713f328514238594150d64fbd99f5a4374c86eb40,de61fa7415082e60270e63c713f328514238594150d64fbd99f5a4374c86eb40,80bb0c8d-77f6-4c36-a787-9c249370fa6b,bd2bad2d-7bd8-4742-9037-88bd1b09924b,2026-02-19T09:01:49.185Z,2026-02-25T06:25:53.168Z
30001,BA001813,THE_TESALIA_30001,Regular,0.00,0.00,135.00,20250331,fe9b1ef82b0f146a0fdcecffee034d40d8e4e88cb61150f942df9098f62f4ef9,fe9b1ef82b0f146a0fdcecffee034d40d8e4e88cb61150f942df9098f62f4ef9,80bb0c8d-77f6-4c36-a787-9c249370fa6b,bd2bad2d-7bd8-4742-9037-88bd1b09924b,2026-02-19T09:01:49.185Z,2026-02-25T06:25:53.168Z
