customer_id,id,name,site,effective_date,unit_price,year,integration_id,execution_id,workflow_execution_id,create_timestamp,last_updated_timestamp,record_key_hash
66339,CBC_Peruana220V | PET | 450 ML | Zero | 20261201,BA019104,CBC_PERUANA_66339,20261201,2.409,2026,CBC_PERUANA_66339~BA019104~CBC_Peruana220V | PET | 450 ML | Zero | 20261201,6b31c10f-d64a-446c-8684-42f59280efee,1719c0de-1410-4b0a-8380-3a99865c748b,2026-02-20T14:23:59.364Z,2026-02-20T14:23:59.364Z,04eaff3a5a778fee3c5ee91580c0ad02461ea24fd1c2bf3785c8b5953ad25ad2
30001,The_TesaliaTesalia | PET | 1200 ML | Agua | 20261201,BA016053,THE_TESALIA_30001,20261201,1.2331784466092133,2026,THE_TESALIA_30001~BA016053~The_TesaliaTesalia | PET | 1200 ML | Agua | 20261201,6b31c10f-d64a-446c-8684-42f59280efee,1719c0de-1410-4b0a-8380-3a99865c748b,2026-02-20T14:23:59.364Z,2026-02-20T14:23:59.364Z,0785fbba54274b16228c111061aaadb6065fda40c88acb011950d6f7dfc82e9e
30001,The_TesaliaGüitig | GNRB | 330 ML | Mineral | 20260801,BA000953,THE_TESALIA_30001,20260801,3.88939505478172,2026,THE_TESALIA_30001~BA000953~The_TesaliaGüitig | GNRB | 330 ML | Mineral | 20260801,6b31c10f-d64a-446c-8684-42f59280efee,1719c0de-1410-4b0a-8380-3a99865c748b,2026-02-20T14:23:59.364Z,2026-02-20T14:23:59.364Z,066dd520ac12cbb4cc39a6f94c52fafc88764ddf73e8cc855cd38201512d0601
66328,Embotelladora_La_MariposaPetit | TETRA | 200 ML | Sabores | 20260201,AA065077,EMBOTELLADORA_LA_MARIPOSA_66328,20260201,0.5850558533691206,2026,EMBOTELLADORA_LA_MARIPOSA_66328~AA065077~Embotelladora_La_MariposaPetit | TETRA | 200 ML | Sabores | 20260201,6b31c10f-d64a-446c-8684-42f59280efee,1719c0de-1410-4b0a-8380-3a99865c748b,2026-02-20T14:23:59.364Z,2026-02-20T14:23:59.364Z,0553e51dfb01069bebee23ab0ca374416a0cdb0d6751be7e284d23f039c4f2f2
2060885,MaresPetit | TETRA | 200 ML | Sabores | 20260701,BA005442,MARES_2060885,20260701,0.738293384405376,2026,MARES_2060885~BA005442~MaresPetit | TETRA | 200 ML | Sabores | 20260701,6b31c10f-d64a-446c-8684-42f59280efee,1719c0de-1410-4b0a-8380-3a99865c748b,2026-02-20T14:23:59.364Z,2026-02-20T14:23:59.364Z,04ea60f2b6648e2702ac43d414f07ef57c215c32604b16498b3f2e94c398a910
30001,The_TesaliaQuintuples | PET | 1000 ML | Sabores | 20261101,BA013127,THE_TESALIA_30001,20261101,1.682601059256255,2026,THE_TESALIA_30001~BA013127~The_TesaliaQuintuples | PET | 1000 ML | Sabores | 20261101,6b31c10f-d64a-446c-8684-42f59280efee,1719c0de-1410-4b0a-8380-3a99865c748b,2026-02-20T14:23:59.364Z,2026-02-20T14:23:59.364Z,055efd633a6b8b215861111a61edb899f021d1cde4dae120c02bfe600546c523
66328,Embotelladora_La_MariposaSquiz | PET | 2500 ML | Citrus_Punch | 20260901,BA019939,EMBOTELLADORA_LA_MARIPOSA_66328,20260901,1.2240000000000002,2026,EMBOTELLADORA_LA_MARIPOSA_66328~BA019939~Embotelladora_La_MariposaSquiz | PET | 2500 ML | Citrus_Punch | 20260901,6b31c10f-d64a-446c-8684-42f59280efee,1719c0de-1410-4b0a-8380-3a99865c748b,2026-02-20T14:23:59.364Z,2026-02-20T14:23:59.364Z,050efc0a00404bc87469e5e7036bc30fdfb2845978301229ab237ac62ef3d499
66328,Embotelladora_La_MariposaAqua | PET | 1000 ML | Agua | 20260201,BA003560,EMBOTELLADORA_LA_MARIPOSA_66328,20260201,0.6940282931354359,2026,EMBOTELLADORA_LA_MARIPOSA_66328~BA003560~Embotelladora_La_MariposaAqua | PET | 1000 ML | Agua | 20260201,6b31c10f-d64a-446c-8684-42f59280efee,1719c0de-1410-4b0a-8380-3a99865c748b,2026-02-20T14:23:59.364Z,2026-02-20T14:23:59.364Z,0603d709438b9b970152653824827582007852d5443c453c78e9fd6a9a2b3dc1
66328,Embotelladora_La_MariposaFruta Fresca | PET | 650 ML | Naranjada | 20260101,BA020025,EMBOTELLADORA_LA_MARIPOSA_66328,20260101,1.5005714175592124,2026,EMBOTELLADORA_LA_MARIPOSA_66328~BA020025~Embotelladora_La_MariposaFruta Fresca | PET | 650 ML | Naranjada | 20260101,6b31c10f-d64a-446c-8684-42f59280efee,1719c0de-1410-4b0a-8380-3a99865c748b,2026-02-20T14:23:59.364Z,2026-02-20T14:23:59.364Z,0662c490102f7de0dba8cb78882fd48b0265eba3d49c8fc30671a601ae5d36d6
30001,The_Tesalia220V | PET | 600 ML | Daily | 20260701,BA025416,THE_TESALIA_30001,20260701,4.062591538330275,2026,THE_TESALIA_30001~BA025416~The_Tesalia220V | PET | 600 ML | Daily | 20260701,6b31c10f-d64a-446c-8684-42f59280efee,1719c0de-1410-4b0a-8380-3a99865c748b,2026-02-20T14:23:59.364Z,2026-02-20T14:23:59.364Z,0148561a5ac52fc3ddea23a75a2b0daae96b2f5c32c9eee49254bc308b67ad2c
66328,Embotelladora_La_MariposaSalutaris | LATA | 355 ML | Sabores | 20261201,BA020097,EMBOTELLADORA_LA_MARIPOSA_66328,20261201,3.3801207955429375,2026,EMBOTELLADORA_LA_MARIPOSA_66328~BA020097~Embotelladora_La_MariposaSalutaris | LATA | 355 ML | Sabores | 20261201,6b31c10f-d64a-446c-8684-42f59280efee,1719c0de-1410-4b0a-8380-3a99865c748b,2026-02-20T14:23:59.364Z,2026-02-20T14:23:59.364Z,05a3ff41e3b04f0373f0cd3894fb5e7d1b476d2779b11e6f0da9aa678a239cc9
30001,THE_TESALIAPure Water | PET | 625 ML | Agua | 20260601,BA005706,THE_TESALIA_30001,20260601,1.3036586798838192,2026,THE_TESALIA_30001~BA005706~THE_TESALIAPure Water | PET | 625 ML | Agua | 20260601,6b31c10f-d64a-446c-8684-42f59280efee,1719c0de-1410-4b0a-8380-3a99865c748b,2026-02-20T14:23:59.364Z,2026-02-20T14:23:59.364Z,069e053841eb68b957fcf1f2d75ee82c98157eb7765b44be4e243d92e2ef1f4c
2060890,Embotelladora_La_NacionalSoda Ensa | PET | 1500 ML | Mineral | 20260101,BA026097,EMBOTELLADORA_LA_NACIONAL_2060890,20260101,2.4470406885911875,2026,EMBOTELLADORA_LA_NACIONAL_2060890~BA026097~Embotelladora_La_NacionalSoda Ensa | PET | 1500 ML | Mineral | 20260101,6b31c10f-d64a-446c-8684-42f59280efee,1719c0de-1410-4b0a-8380-3a99865c748b,2026-02-20T14:23:59.364Z,2026-02-20T14:23:59.364Z,063bfa31dd2c4f8d4b0ff7d3e81552d9d310963c3cf3b514ff68e113fa4fe648
66321,El_CondorGüitig | PET | 500 ML | Mineral | 20260401,BA000321,EL_CONDOR_66321,20260401,9,2026,EL_CONDOR_66321~BA000321~El_CondorGüitig | PET | 500 ML | Mineral | 20260401,6b31c10f-d64a-446c-8684-42f59280efee,1719c0de-1410-4b0a-8380-3a99865c748b,2026-02-20T14:23:59.364Z,2026-02-20T14:23:59.364Z,06ece87ef1f373c9caee3989b992a27e59656195da7429e665a05d7f31559e74
30001,The_TesaliaPure Water | PET | 1200 ML | Agua | 20260601,BA019928,THE_TESALIA_30001,20260601,1.3669246756053648,2026,THE_TESALIA_30001~BA019928~The_TesaliaPure Water | PET | 1200 ML | Agua | 20260601,6b31c10f-d64a-446c-8684-42f59280efee,1719c0de-1410-4b0a-8380-3a99865c748b,2026-02-20T14:23:59.364Z,2026-02-20T14:23:59.364Z,0b9652e3685225d6cba309b5aea37f973116a94b77999f6b6faa9e4230eb837f
66336,Pepsicola_Puerto_RicoPetit | LATA | 330 ML | Sabores | 20261001,BA023404,PEPSICOLA_PUERTO_RICO_66336,20261001,1.5106210444494377,2026,PEPSICOLA_PUERTO_RICO_66336~BA023404~Pepsicola_Puerto_RicoPetit | LATA | 330 ML | Sabores | 20261001,6b31c10f-d64a-446c-8684-42f59280efee,1719c0de-1410-4b0a-8380-3a99865c748b,2026-02-20T14:23:59.364Z,2026-02-20T14:23:59.364Z,01cfdd96a39265ce211022cfbcba90c524823f5170499cd54dd2b9a93a0011c7
66332,Embotelladora_La_ReynaPetit | TETRA | 200 ML | Sabores | 20260901,AA065070,EMBOTELLADORA_LA_REYNA_66332,20260901,0.6140859760357811,2026,EMBOTELLADORA_LA_REYNA_66332~AA065070~Embotelladora_La_ReynaPetit | TETRA | 200 ML | Sabores | 20260901,6b31c10f-d64a-446c-8684-42f59280efee,1719c0de-1410-4b0a-8380-3a99865c748b,2026-02-20T14:23:59.364Z,2026-02-20T14:23:59.364Z,0b059be7fed454658403bc73b9a169bf936cd61913f07bc3b2bf88518439c3d3
30001,The_TesaliaGüitig | PET | 1500 ML | Sabores | 20260301,BA025773,THE_TESALIA_30001,20260301,3.101622598663143,2026,THE_TESALIA_30001~BA025773~The_TesaliaGüitig | PET | 1500 ML | Sabores | 20260301,6b31c10f-d64a-446c-8684-42f59280efee,1719c0de-1410-4b0a-8380-3a99865c748b,2026-02-20T14:23:59.364Z,2026-02-20T14:23:59.364Z,01d75ee3fbf38cd8168fe62bae77a738e252fac43cbfe3d39d63bece7d20f4dd
2060885,MaresAqua | PET | 1750 ML | Agua | 20261001,BA020360,MARES_2060885,20261001,1.1977134404219991,2026,MARES_2060885~BA020360~MaresAqua | PET | 1750 ML | Agua | 20261001,6b31c10f-d64a-446c-8684-42f59280efee,1719c0de-1410-4b0a-8380-3a99865c748b,2026-02-20T14:23:59.364Z,2026-02-20T14:23:59.364Z,0b89f19f010f9b8321d0485dd1589c91a27177d0c518eadb6e910fd89bd656a3
30001,The_TesaliaFrutaris | PET | 1000 ML | Sabores | 20261201,BA013129,THE_TESALIA_30001,20261201,1.6618609126011301,2026,THE_TESALIA_30001~BA013129~The_TesaliaFrutaris | PET | 1000 ML | Sabores | 20261201,6b31c10f-d64a-446c-8684-42f59280efee,1719c0de-1410-4b0a-8380-3a99865c748b,2026-02-20T14:23:59.364Z,2026-02-20T14:23:59.364Z,0bed17262cbfd795f52e653294a686c528237eeb9d973e99051108fb2c0e5c2c
