assembly_name,assembly_site_value,component_name,component_site_value,EffectiveInDate,EffectiveOutDate,quantityper,scrap,safety_stock,initial_inventory,integration_id,record_key_hash,batch_id,execution_id,create_timestamp,last_updated_timestamp
AA780634,JAMAICA EXPORTS (PCJ)_J001,600399,JAMAICA EXPORTS (PCJ)_J001,18010101,99991202,0.037758,1,45,0,8bc41c5681c1aae36faf055da58ec088e88ac40dc66d4ea3eb4604717b6b21dc,8bc41c5681c1aae36faf055da58ec088e88ac40dc66d4ea3eb4604717b6b21dc,baf191c9-130d-4065-99cd-a8f86c651bb8,13d408c4-5fca-4e2c-917e-6751d81bce8e,2026-02-20T04:10:26.003Z,2026-02-25T07:15:08.125Z
AA001014,EMBOTELLADORA_LA_NACIONAL_NI00,420011,EMBOTELLADORA_LA_NACIONAL_NI00,18040101,99991202,0.0012482419127988747,1,45,0,1d7474cf958939ca3f7ed5aad285f4b837b18080a860f406e693e28304ccd53f,1d7474cf958939ca3f7ed5aad285f4b837b18080a860f406e693e28304ccd53f,baf191c9-130d-4065-99cd-a8f86c651bb8,13d408c4-5fca-4e2c-917e-6751d81bce8e,2026-02-20T04:10:26.003Z,2026-02-25T07:15:08.125Z
AA109006,MARIPOSA_GP00,420011,MARIPOSA_GP00,18020101,99991202,0.0026371308016877636,1,45,0,d4cd5e5289d1e6095af2cdb4123500c8208583bd8a66d5fceb611dabd126b8bc,d4cd5e5289d1e6095af2cdb4123500c8208583bd8a66d5fceb611dabd126b8bc,baf191c9-130d-4065-99cd-a8f86c651bb8,13d408c4-5fca-4e2c-917e-6751d81bce8e,2026-02-20T04:10:26.003Z,2026-02-25T07:15:08.125Z
BA021184,PERU_RP04,437098,PERU_RP04,18150101,99991202,0.0010992278305007987,1,45,0,bf4e249f8346522a803b8cbcdb93700f03bdf07e0022b782c7117e205c949d2f,bf4e249f8346522a803b8cbcdb93700f03bdf07e0022b782c7117e205c949d2f,baf191c9-130d-4065-99cd-a8f86c651bb8,13d408c4-5fca-4e2c-917e-6751d81bce8e,2026-02-20T04:10:26.003Z,2026-02-25T07:15:08.125Z
BA020432,TESALIA_400000105,426214,TESALIA_400000105,18050101,99991202,0.0008,1,45,0,d59417c24512f89c901a3876cc01efd21588d9bd94d9b940ca2e3ca42141663e,d59417c24512f89c901a3876cc01efd21588d9bd94d9b940ca2e3ca42141663e,baf191c9-130d-4065-99cd-a8f86c651bb8,13d408c4-5fca-4e2c-917e-6751d81bce8e,2026-02-20T04:10:26.003Z,2026-02-25T07:15:08.125Z
BA020449,TESALIA_400000105,427336,TESALIA_400000105,18050101,99991202,0.00030000000000000003,1,45,0,0aacdb7c2a13a0b4d662b590c94aaf1d22003fc907f873e28aeb5659c0d87132,0aacdb7c2a13a0b4d662b590c94aaf1d22003fc907f873e28aeb5659c0d87132,baf191c9-130d-4065-99cd-a8f86c651bb8,13d408c4-5fca-4e2c-917e-6751d81bce8e,2026-02-20T04:10:26.003Z,2026-02-25T07:15:08.125Z
BA023164,MARIPOSA_GP00,420011,MARIPOSA_GP00,18020101,99991202,0.0012482419127988747,1,45,0,e627c09d08a8c6b9fef1a37c7624a6b491169bb235c2653abd33bf64b66f5ca7,e627c09d08a8c6b9fef1a37c7624a6b491169bb235c2653abd33bf64b66f5ca7,baf191c9-130d-4065-99cd-a8f86c651bb8,13d408c4-5fca-4e2c-917e-6751d81bce8e,2026-02-20T04:10:26.003Z,2026-02-25T07:15:08.125Z
BA000798,TESALIA_400000105,426214,TESALIA_400000105,18050101,99991202,0.0005046666666666667,1,45,0,dd6a1a26a05a0acfdc8ca01d5439e3c6f558b642dd8d313b078bf4f7f36c2fd1,dd6a1a26a05a0acfdc8ca01d5439e3c6f558b642dd8d313b078bf4f7f36c2fd1,baf191c9-130d-4065-99cd-a8f86c651bb8,13d408c4-5fca-4e2c-917e-6751d81bce8e,2026-02-20T04:10:26.003Z,2026-02-25T07:15:08.125Z
AA059006,LIVSMART_SP00,420011,LIVSMART_SP00,18030101,99991202,0.00263713080168776,1,45,0,6e7453effc5d0b2ba0da3efdbebd69057b70d54f5e39390a0b5c97edda1dd69d,6e7453effc5d0b2ba0da3efdbebd69057b70d54f5e39390a0b5c97edda1dd69d,baf191c9-130d-4065-99cd-a8f86c651bb8,13d408c4-5fca-4e2c-917e-6751d81bce8e,2026-02-20T04:10:26.003Z,2026-02-25T07:15:08.125Z
BA020408,TESALIA_400000105,426213,TESALIA_400000105,18050101,99991202,0.0005046666666666667,1,45,0,3b8afa59fe293204861832ad3bb4c6f158995a73078f69513f0af087db2a7b74,3b8afa59fe293204861832ad3bb4c6f158995a73078f69513f0af087db2a7b74,baf191c9-130d-4065-99cd-a8f86c651bb8,13d408c4-5fca-4e2c-917e-6751d81bce8e,2026-02-20T04:10:26.003Z,2026-02-25T07:15:08.125Z
BA020436,TESALIA_400000105,427336,TESALIA_400000105,18050101,99991202,0.001,1,45,0,30f6500ae12f9c7ec490b1ef85dd3257de72c63199074c653d79c6f568b183d4,30f6500ae12f9c7ec490b1ef85dd3257de72c63199074c653d79c6f568b183d4,baf191c9-130d-4065-99cd-a8f86c651bb8,13d408c4-5fca-4e2c-917e-6751d81bce8e,2026-02-20T04:10:26.003Z,2026-02-25T07:15:08.125Z
BA020438,TESALIA_400000105,426213,,18050101,99991202,0.00024,1,45,0,65aa7bde914f8873c8f1d0ee3ab043f70bfaec30ad62d0b6833f679ccdaa0aa0,65aa7bde914f8873c8f1d0ee3ab043f70bfaec30ad62d0b6833f679ccdaa0aa0,26fbaead-a52d-4fc0-9ea1-03cb69286cf4,99f426be-400f-45da-8b7f-b62f9a1288c1,2026-02-19T09:50:04.353Z,2026-02-19T09:50:04.370Z
BA000879,TESALIA_400000105,426213,,18050101,99991202,0.0006,1,45,0,a99c33201b70701d60db8a548ea3b00b576a6768e79d60ee87cf2b1524d13454,a99c33201b70701d60db8a548ea3b00b576a6768e79d60ee87cf2b1524d13454,26fbaead-a52d-4fc0-9ea1-03cb69286cf4,99f426be-400f-45da-8b7f-b62f9a1288c1,2026-02-19T09:50:04.353Z,2026-02-19T09:50:04.370Z
BA013129,TESALIA_400000105,427336,,18050101,99991202,0.001,1,45,0,e2bf8c3017d5174bd222f58110fbc97d86c46fdf0e6342aa21968ab0a9bcf10d,e2bf8c3017d5174bd222f58110fbc97d86c46fdf0e6342aa21968ab0a9bcf10d,26fbaead-a52d-4fc0-9ea1-03cb69286cf4,99f426be-400f-45da-8b7f-b62f9a1288c1,2026-02-19T09:50:04.353Z,2026-02-19T09:50:04.370Z
BA013134,TESALIA_400000105,426214,,18050101,99991202,0.0008,1,45,0,015df47a22c7d7c510c612390a5ba6ae819ffa1b70c97ed7f34331aa58b61f45,015df47a22c7d7c510c612390a5ba6ae819ffa1b70c97ed7f34331aa58b61f45,26fbaead-a52d-4fc0-9ea1-03cb69286cf4,99f426be-400f-45da-8b7f-b62f9a1288c1,2026-02-19T09:50:04.353Z,2026-02-19T09:50:04.370Z
BA020447,TESALIA_400000105,426214,,18050101,99991202,0.00024,1,45,0,ea1ed4fd2a2102783b1bd4436b20ae45d88fe0e540bf60edac5f47649f785571,ea1ed4fd2a2102783b1bd4436b20ae45d88fe0e540bf60edac5f47649f785571,26fbaead-a52d-4fc0-9ea1-03cb69286cf4,99f426be-400f-45da-8b7f-b62f9a1288c1,2026-02-19T09:50:04.353Z,2026-02-19T09:50:04.370Z
AA760392,JAMAICA EXPORTS (PCJ)_J001,600403,,18010101,99991202,0.074716,1,45,0,ac1f606738aa8266b7efed5871c301fd1a96601787b021fc215ed4c970b32d28,ac1f606738aa8266b7efed5871c301fd1a96601787b021fc215ed4c970b32d28,26fbaead-a52d-4fc0-9ea1-03cb69286cf4,99f426be-400f-45da-8b7f-b62f9a1288c1,2026-02-19T09:50:04.353Z,2026-02-19T09:50:04.370Z
